bygning_navn	eiendom	objekt_type	objekt_tekst	AddressLine1	Anleggstype	Antall armaturer	Antall dyser	Antall flasker / boks	BasedOn	Bruksformål	CertificateNumber	Contact	Date	DeliveryDate	Dimensjon	DoneBy	Email	EquipmentComment	Etasje	Fabrikat	Finnes det loggbok	Flasker â€“ produksjonsår	Flasketrykk	Georef	InstallationID	Installations nr	Instruks	KgL	LastEquipmentInstallationNumber	Legionellagjennomspyling gjennomført	Lengde	Leverandør Objekt ID	Merknader	Navn	Neste kontroll	Overflate	Place	Plassering	ProductID	Produksjonsår	Produsent	PropertyID	Regelverk beregning	Rom nummer	RomNr	Romnummer	Sign	Siste kontroll	Skilt	Slange	Slokkemiddel	Status funksjoner	Status utstyr	StatusAreas	StatusFences	StatusVegetation	Stralerør	Telephone	Temperatur kaldtvann	Temperatur varmtvann	Tid (minutter)	Tilforsel	Trommel	Trykkprøve	Type dusj	Type slokkemiddel	Typebetegnelse	TypeID	Vann	Vedlikeholdstype	Vendor	VendorId	Volum beregnet m2	Volum målt m3	ZipCode	
Bekkelaget skole. Bygg B	Bekkelaget skole	BS	Brannslanger												3/4tomme				04								X				30	500000043104			2022-09-27			Trapp V heis		2000-07-28				03				2021-11-02	X	X							X					X	X	X					X							
Bestum idrettshall	Bestum idrettshall	BS	Brannslanger												3/4tomme												X				25	002999948009	SKILTES på dør.		2022-06-14			U2 KORRIDOR VED GARDEROBE		2009-04-17								2021-06-14	X	X							X					X	X	X					X							
Bestum skole. Bygg A	Bestum skole	BS	Brannslanger												3/4tomme												X				25	002999947968			2022-06-14			U VENTILASJON ROM		2008-04-17								2021-06-14	X	X							X					X	X	X					X							
Bestum skole. Bygg B	Bestum skole	BS	Brannslanger												3/4tomme												X				25	002999948002			2022-06-14			U KORRIDOR VED TILFLUKTSROM		1996-04-17								2021-06-14	X	X							X					X	X	X					X							
Bjerke videregående skole	Bjerke videregående skole	BS	Brannslanger												3/4tomme				03								X				30	002999962440			2022-10-06			Bygg B Korridor ved wc 02076		2013-11-29				08				2021-10-06	X	X							X					X	X	X					X							
Bjørndal skole. Aktivitets skolen. Bygg 7	Bjørndal skole	BS	Brannslanger												3/4tomme				01								X				30	003009929149			2022-09-21			Garderobe fritidshus inng a		2020-06-10				04				2021-09-21	X	X							X					X	X	X					X							
Bjørndal skole. Gymbygning	Bjørndal skole	BS	Brannslanger												3/4tomme				01								X				30	002999948456			2022-09-21			Korridor GYM bygning v wc		2020-06-02				01				2021-09-21	X	X							X					X	X	X					X							
Bjørndal skole. Hovedbygning. Bygg 8	Bjørndal skole	BS	Brannslanger												3/4tomme				02								X				30	002999948460			2022-09-21			Korridor ved sløyd		2020-06-03				06				2021-09-21	X	X							X					X	X	X					X							
Bjørndal skole. Klassehus 1/2/3. Bygg 1	Bjørndal skole	BS	Brannslanger												3/4tomme				01								X				30	002999948450			2022-09-21			Garderobe bygg 2-3		2020-06-03				02				2021-09-21	X	X							X					X	X	X					X							
Bjørndal skole. Klassehus 10/11/12. Bygg 4	Bjørndal skole	BS	Brannslanger												3/4tomme				01								X				30	002999948446			2022-09-21			Garderobe bygg 11-12		2020-06-04				02				2021-09-21	X	X							X					X	X	X					X							
Bjørndal skole. Klassehus 13/14/15. Bygg 5	Bjørndal skole	BS	Brannslanger												3/4tomme				01								X				30	002999948444			2022-09-21			Garderobe bygg 15		2020-06-05				03				2021-09-21	X	X							X					X	X	X					X							
Bjørndal skole. Klassehus 16/17/18. Bygg 6	Bjørndal skole	BS	Brannslanger												3/4tomme				01								X				30	003009929147			2022-09-21			Garderobe i bygg nr 16		2020-06-10				02				2021-09-21	X	X							X					X	X	X					X							
Bjørndal skole. Klassehus 19/20/21. Bygg 10	Bjørndal skole	BS	Brannslanger												3/4tomme				01								X				25	002999915761			2022-09-21			Bøttekott bygg 21 v inng		1999-09-04				02				2021-09-21	X	X							X					X	X	X					X							
Bjørndal skole. Klassehus 4/5/6. Bygg 2	Bjørndal skole	BS	Brannslanger												3/4tomme				01								X				30	002999948448			2022-09-21			Garderobe bygg nr 6		2020-06-03				03				2021-09-21	X	X							X					X	X	X					X							
Bjørndal skole. Klassehus 7/8/9	Bjørndal skole	BS	Brannslanger												3/4tomme				01								X				30	002999948454			2022-09-21			Garderobe bygg nr 9		2020-06-02				03				2021-09-21	X	X							X					X	X	X					X							
Brannfjell skole. Hovedbygning	Brannfjell skole	BS	Brannslanger												3/4tomme				03								X				30	002999948559	Rust i nav . Slangtrommel er over 30år må byttes.		2022-04-12			på scene		2020-04-24				13				2021-04-12	X	X							X					X	X	X					X							
Brannfjell skole. Musikkavdeling	Brannfjell skole	BS	Brannslanger												3/4tomme				01								X				25				2022-09-15			korridor v klasserom		1998-09-09				01				2021-09-15	X	X							X					X	X	X					X							
Bygg 1 - Tidligere A/Hovedbygg	Lilleaker skole	BS	Brannslanger												3/4tomme				A								X				25	002999933643			2022-11-18			A U. TRAPP		2006-12-11				03				2021-11-18	X	X							X					X	X	X					X							
Bygg 2 - Tidli Vaktmesterbolig	Lilleaker skole	BS	Brannslanger												3/4tomme				B								X				25	002999933645			2022-11-18			KORRIDOR VED GARDEROBE		1996-12-11				02				2021-11-18	X	X							X					X	X	X					X							
Bygg 3	Lilleaker skole	BS	Brannslanger												3/4tomme				C								X				25	002999933650	Strålerør må skiftes.		2022-11-30			KORRIDOR VED GARDEROBE		1996-12-11				U3				2021-11-30	X	X							X					X	X	X					X							
Bøler flerbrukshall	Bøler idrettshall	BS	Brannslanger												3/4tomme				U10								X				25	500000043054			2022-11-17			ymsal v utstyrslager		2007-12-16				7				2021-11-17	X	X							X					X	X	X					X							
Bøler skole. Bygning  A	Bøler skole	BS	Brannslanger												3/4tomme				U10								X				25	002999935139	Denne sto reg 2 ganger, fjernet 1 av de		2022-11-17			orridor v wc		2017-12-16				1				2021-11-17	X	X							X					X	X	X					X							
Bøler skole. Bygning  B	Bøler skole	BS	Brannslanger												3/4tomme				U10								X				25	02999935134			2022-11-17			orridor v WC/garderobe		2017-12-16				1				2021-11-17	X	X							X					X	X	X					X							
Bøler skole. Bygning  HJ	Bøler skole	BS	Brannslanger												3/4tomme				U10								X				25	500000043055			2022-10-14			v klasserom 23 nr 209		2018-11-17				1				2021-11-17	X	X							X					X	X	X					X							
Bøler skole. Hovedbygning EI	Bøler skole	BS	Brannslanger												3/4tomme				U10								X				25	002999935131			2022-11-17			orridor v musikkrom 084		2020-03-25				6				2021-11-17	X	X							X					X	X	X					X							
Ellingsrud skole	Ellingsrud skole	BS	Brannslanger												3/4tomme				Kj								X				30	500000010756	Lekkasje, må skifte pakning		2022-05-07			v/rom R49		2020-05-07				11				2021-05-07	X	X							X					X	X	X					X							
Ellingsrudåsen skole. Aktivitetsskolen	Ellingsrudåsen skole	BS	Brannslanger												3/4tomme												X				25	003009929109			2022-04-22			Arken ved hovedstoppekran		2020-04-07								2021-04-22	X	X							X					X	X	X					X							
Ellingsrudåsen skole. Heimkunnskap	Ellingsrudåsen skole	BS	Brannslanger												3/4tomme												X				25	003009928877	Lekker, må skifte pakninger. Noha trommel		2022-04-22			01 Heimkunnskap kjøkken		2000-03-19								2021-04-22	X	X							X					X	X	X					X							
Ellingsrudåsen skole. Skolebygning	Ellingsrudåsen skole	BS	Brannslanger												3/4tomme												X				25	003009928901	Lekker i strålerøret		2022-04-22			03 Korridor ved inngang		2011-03-19								2021-04-22	X	X							X					X	X	X					X							
Etterstad videregående skole. Bygg B	Etterstad videregående skole	BS	Brannslanger												3/4tomme				02								X				25	500000049550			2022-11-15			Bygg B ved Korridor gymsal		2006-11-25				13				2021-11-15	X	X							X					X	X	X					X							
Etterstad videregående skole. Bygg C	Etterstad videregående skole	BS	Brannslanger												3/4tomme				02								X				30	002999933573			2022-11-12			Bygg C ventilasjon/varmesentral rom C U02		2018-11-22				05				2021-11-12	X	X							X					X	X	X					X							
Etterstad videregående skole. Bygning D. Høybygget	Etterstad videregående skole	BS	Brannslanger												3/4tomme				06								X				30	002999933601			2022-11-12			Gang ved vaskerom 413 og heis		2019-12-03				01				2021-11-12	X	X							X					X	X	X					X							
Etterstad videregående skole. Hovedbygning. Bygg A	Etterstad videregående skole	BS	Brannslanger												3/4tomme				02								X				25	002999932533			2022-11-15			Kjeller Bygg A Korridor ved El skap A-K04		2007-11-25				06				2021-11-15	X	X							X					X	X	X					X							
Fagerborg skole	Fagerborg skole	BS	Brannslanger												3/4tomme												X				25	002999952389			2022-05-31			U1 TOALETT JENTER		2016-04-24								2021-05-31	X	X							X					X	X	X					X							
Foss videregående skole. Gymbygning	Foss videregående skole	BS	Brannslanger												3/4tomme				04								X				25	002999930518			2022-11-04			Trimrom 2		2001-11-20				01				2021-11-04	X	X							X					X	X	X					X							
Foss videregående skole. Hovedbygning	Foss videregående skole	BS	Brannslanger												3/4tomme				04								X				25	002999931444			2022-11-04			Korridor V u1.30		2000-11-20				12				2021-11-04	X	X							X					X	X	X					X							
Frydenberg skole	Frydenberg skole	BS	Brannslanger												3/4tomme				03								X				30	002999946602	Lekker mellom fot og trommel		2022-04-08			Takterrasse V ventilasjon		2011-04-03				08				2021-04-08	X	X							X					X	X	X					X							
Furuset skole. Paviljong 2 -E	Furuset skole	BS	Brannslanger												3/4tomme				01								X				25	003009928843			2022-07-28			korridor Inngang mot skole		1999-03-18				04				2021-09-01	X	X							X					X	X	X					X							
Furuset skole. Paviljong D	Furuset skole	BS	Brannslanger												3/4tomme				01								X				25	003009928849	Gammelt skilt. Må byttes 15 plog		2022-07-28			Korridor ved vaskerom/ bøttekott		1999-03-18				02				2021-09-01	X	X							X					X	X	X					X							
Furuset skole. Skolebygning 1909-1936 (C)	Furuset skole	BS	Brannslanger												3/4tomme				02								X				25	003009928852			2022-07-28			Korridor ved klasserom 6		1999-03-18				02				2021-09-01	X	X							X					X	X	X					X							
Furuset skole. Skolebygning 1962 (B)	Furuset skole	BS	Brannslanger												3/4tomme				01								X				25	003009928871			2022-07-28			Korridor ved personalrom		1999-03-18				05				2021-09-01	X	X							X					X	X	X					X							
Gamlebyen skole. Gymbygning. Bygg C	Gamlebyen skole	BS	Brannslanger												1tomme												X				25	002999946862			2022-05-18			U TRAPP VED HEIS		1996-04-23								2021-05-18	X	X							X					X	X	X					X							
Gamlebyen skole. Skolebygning. Bygg A	Gamlebyen skole	BS	Brannslanger												1tomme												X				25	002999948020			2022-05-18			U KORRIDOR VED A018		2016-04-23								2021-05-18	X	X							X					X	X	X					X							
Gamlebyen skole. Skolebygning. Bygg B	Gamlebyen skole	BS	Brannslanger												1tomme												X				25	002999946877			2022-05-18			U TRAPP		1996-04-23								2021-05-18	X	X							X					X	X	X					X							
Godlia skole. Hovedbygning	Godlia skole	BS	Brannslanger												3/4tomme				A								X				25	002999933635			2022-11-18			Korridor ved wc B314		2014-11-21				11				2021-11-18	X	X							X					X	X	X					X							
Grindbakken skole. Bygg 5	Grindbakken skole	BS	Brannslanger												3/4tomme												X				25	002999938942			2022-04-16			01 inngang S v toaletter		1999-04-14								2021-04-16	X	X							X					X	X	X					X							
Grindbakken skole. Bygg 7	Grindbakken skole	BS	Brannslanger												3/4tomme												D				25	002999938946	Se tidligere rapport		2022-04-16			01 korridor		1997-04-14								2021-04-16	D	D							D					D	D	D					D							
Grindbakken skole. Gymbygning	Grindbakken skole	BS	Brannslanger												3/4tomme												D				25	002999938952	Se tidligere rapport		2022-04-16			02 v gymsal		1982-04-14								2021-04-16	D	D							D					D	D	D					D							
Grindbakken skole. Hovedbygning	Grindbakken skole	BS	Brannslanger												3/4tomme												X				30	500000004099	Se forrige rapport		2022-04-16			01 v/rom 116		2015-04-16								2021-04-16	X	X							X					X	X	X					X							
Grindbakken skole. Mellombygg	Grindbakken skole	BS	Brannslanger												3/4tomme												X				30	002999938948			2022-04-16			01 korridor høyresiden		1999-04-14								2021-04-16	X	X							X					X	X	X					X							
Grindbakken skole. Paviljong	Grindbakken skole	BS	Brannslanger												3/4tomme												X				30	002999938945	Se forrige rapport		2022-04-16			01 v toaletter		2003-04-14								2021-04-16	X	X							X					X	X	X					X							
Grorud skole. Bygg B	Grorud skole	BS	Brannslanger												3/4tomme				02								X				25	002999935928			2022-03-17			v/inngang		2004-01-01				01				2021-03-17	X	X							X					X	X	X					X							
Grorud skole. Bygg C	Grorud skole	BS	Brannslanger												3/4tomme				02								X				25	002999935926			2022-03-17			v/inngang		2004-01-01				01				2021-03-17	X	X							X					X	X	X					X							
Grorud skole. Bygg D	Grorud skole	BS	Brannslanger												3/4tomme				02								X				30	783250203130	Feil skiltet. Må bytte plogskilt.		2022-03-17			v/hovedinngang		2000-01-01				06				2021-03-17	X	X							X					X	X	X					X							
Grorud skole. Hovedbygning  A	Grorud skole	BS	Brannslanger												3/4tomme				03								X				25	783250203208	Defekt strålerør. Må byttes.		2022-03-17			Rom 108 Ped lek		2004-01-01				04				2021-03-17	X	X							X					X	X	X					X							
Groruddalen skole. A/M bygg	Groruddalen skole	BS	Brannslanger												3/4tomme				02								X				30	002999935884			2022-03-18			korridor v/rom A204		2018-01-01				03				2021-03-18	X	X							X					X	X	X					X							
Groruddalen skole. B-bygg	Groruddalen skole	BS	Brannslanger												3/4tomme				02								X				30	002999935946			2022-03-18			Trappeoppgang v/mat og helse		2015-01-01				06				2021-03-18	X	X							X					X	X	X					X							
Haugen skole. Bygg 2015	Haugen skole	BS	Brannslanger												3/4tomme				01								X				25	002999936319			2022-04-15			Korridor ved heis og hc wc 10008		2014-03-02				01				2021-04-15	X	X							X					X	X	X					X							
Haugen skole. Grendeskolen Bygg 1	Haugen skole	BS	Brannslanger												3/4tomme				01								X				30	500000011616	Mangler skilt		2022-04-15			Teknisk rom ved enden av bygg		2019-03-15				05				2021-04-15	X	X							X					X	X	X					X							
Haugen skole. Gymbygning	Haugen skole	BS	Brannslanger												3/4tomme				02								X				25	002999936344			2022-04-15			Korridor ved nødutgang garderober		2017-03-02				05				2021-04-15	X	X							X					X	X	X					X							
Haugen skole. Hovedbygget	Haugen skole	BS	Brannslanger												3/4tomme				01								X				30	500000011623	Fjernet		2022-04-15			Korridor ved trapp og aula 01011		2014-04-15				08				2021-04-15	X	X							X					X	X	X					X							
Haugenstua idrettshall	Haugenstua idrettshall	BS	Brannslanger												3/4tomme												X				25	002999931994			2022-04-22			01 Gymsal ved ballrom		1998-01-16								2021-04-22	X	X							X					X	X	X					X							
Haugenstua skole. Skolebygg 2016	Haugenstua skole	BS	Brannslanger												3/4tomme												X				25	002999935420			2022-04-22			03 Korridor ved garderobe 3023		2015-01-16								2021-04-22	X	X							X					X	X	X					X							
Haugenstua skoles barnehage	Haugenstua skoles barnehage	BS	Brannslanger												3/4tomme												X				25	002999935423			2022-04-22			01 Korridor ved spiserom		2004-01-16								2021-04-22	X	X							X					X	X	X					X							
Haugerudhallen	Haugerudhallen	BS	Brannslanger												3/4tomme				U10								X				25	500000043078			2022-11-10			orridor v garderobe/wc		2004-11-22				5				2021-11-10	X	X							X					X	X	X					X							
Hauketo skole. Hovedbygning	Hauketo skole	BS	Brannslanger												3/4tomme				03								X				30	002999932309	Manglet skilt over trommel som er satt opp nå.		2022-11-11			Ved trapp administrasjon		2008-11-15				10				2021-11-11	X	X							X					X	X	X					X							
Haukåsen skole. Aktivitetsskole	Haukåsen skole	BS	Brannslanger												3/4tomme				U10								X				25	002999947561			2022-04-21			rapp V heis		1996-04-17				1				2021-04-21	X	X							X					X	X	X					X							
Haukåsen skole. Atrium	Haukåsen skole	BS	Brannslanger												1tomme				01								X				25	002999947571			2022-04-21			Korridor V nødutgang		2014-04-17				02				2021-04-21	X	X							X					X	X	X					X							
Haukåsen skole. Gymbygning	Haukåsen skole	BS	Brannslanger												3/4tomme				01								X				25	002999947569			2022-04-21			Korridor V garderobe		2011-04-17				03				2021-04-21	X	X							X					X	X	X					X							
Haukåsen skole. Hovedbygning	Haukåsen skole	BS	Brannslanger												3/4tomme				U11								X				30	002999947588			2022-04-21			orridor V wc		2001-04-17				8				2021-04-21	X	X							X					X	X	X					X							
Haukåsen skole. Paviljong (2002)	Haukåsen skole	BS	Brannslanger												3/4tomme				01								X				30	002999947562			2022-04-21			Korridor V vaskerom		2000-04-17				01				2021-04-21	X	X							X					X	X	X					X							
Hellerud videregående skole. Blokk G	Hellerud videregående skole	BS	Brannslanger												3/4tomme				03								X				30	002999938771	Se tidligere rapport		2022-11-08			teknisk rom tak v inngang		2014-04-06				11				2021-11-08	X	X							X					X	X	X					X							
Hellerud videregående skole. Blokk I-D-E-F	Hellerud videregående skole	BS	Brannslanger												3/4tomme				02								X				30	002999938804	Se tidligere rapport		2022-04-08			teknisk korridor v sjakt 00234		2018-04-03				14				2021-04-08	X	X							X					X	X	X					X							
Jeriko skole. Hovedbygning	Jeriko skole	BS	Brannslanger												3/4tomme				01								X				25	002999946649	Tilførsel slange må skiftes pga alder. 1". 1976mod.		2022-04-14			Nybygg korridor v toalett		2010-03-31				07				2021-04-14	X	X							X					X	X	X					X							
Kjelsås skole. 59-bygget	Kjelsås skole	BS	Brannslanger												3/4tomme				02								X				30	002999948587			2022-06-03			ventilasjonsrom v vask		2012-04-20				06				2021-06-03	X	X							X					X	X	X					X							
Kjelsås skole. Gamlebygget	Kjelsås skole	BS	Brannslanger												3/4tomme				05								X				30	002999936726			2022-06-03			korridor v ventilasjonsrom /logoped		2011-04-20				04				2021-06-03	X	X							X					X	X	X					X							
Kjelsås skole. Nybygget	Kjelsås skole	BS	Brannslanger												3/4tomme				02								X				30	500000022512			2022-06-03			kunst & håndverk bakrom		2011-06-03				04				2021-06-03	X	X							X					X	X	X					X							
Kringsjå og Elverhøy skole. Superkube 2016	Kringsjå skole (Elverhøy)	BS	Brannslanger												3/4tomme				02								X				30	003009940697			2022-10-27			Korridor v toalett		2015-08-27				04				2021-10-27	X	X							X					X	X	X					X							
Kringsjå skole	Kringsjå skole (Elverhøy)	BS	Brannslanger												3/4tomme				02								X				30	003009940662			2022-10-27			ventilasjonsrom ved trapp		1996-08-26				17				2021-10-27	X	X							X					X	X	X					X							
Lambertseter bad	Lambertseter bad	BS	Brannslanger												3/4tomme				01								X				25	002999936543			2022-10-28			korridor v garderobe		2000-12-19				01				2021-10-28	X	X							X					X	X	X					X							
Lambertseter skole. Gymbygning	Lambertseter skole	BS	Brannslanger												3/4tomme				01								X				30	002999929266			2022-10-05			gymsal		2013-12-03				03				2021-10-05	X	X							X					X	X	X					X							
Lambertseter skole. Hovedbygning	Lambertseter skole	BS	Brannslanger												3/4tomme				03								X				25	500000023465			2022-10-05			sløyd v vask		2015-12-06				13				2021-10-05	X	X							X					X	X	X					X							
Lambertseter skole. Nybygget	Lambertseter skole	BS	Brannslanger												3/4tomme				02								X				25	002999929211	Ikke godkjent		2022-10-05			korridor v nordstjerna kl 1/2 hovedbygg		2011-12-06				02				2021-10-05	X	X							X					X	X	X					X							
Lambertseter skole. Paviljong A-B (Neptun)	Lambertseter skole	BS	Brannslanger												3/4tomme				01								X				25	002999929271			2022-10-05			b paviljongen v vask		1999-12-07				02				2021-10-05	X	X							X					X	X	X					X							
Lambertseter skole. Paviljong C (Uranus)	Lambertseter skole	BS	Brannslanger												3/4tomme				01								X				25	002999932459			2022-10-05			korridor v garderobe		1999-12-06				01				2021-10-05	X	X							X					X	X	X					X							
Lambertseter skole. Paviljong D (Saturn)	Lambertseter skole	BS	Brannslanger												3/4tomme				01								X				25	002999929212			2022-10-05			korridor v garderobe		1999-12-06				01				2021-10-05	X	X							X					X	X	X					X							
Lilleborg skole.  Nye gymbygning (Bygg nr.5)	Lilleborg skole	BS	Brannslanger												3/4tomme				01								X				25	002999947623	Lekker overgang fotplate/trommel. Pakning byttet		2022-05-05			Garderobe V gymsal		2020-04-23				02				2021-05-05	X	X							X					X	X	X					X							
Lilleborg skole. Aneksbygning (Bygg nr.2)	Lilleborg skole	BS	Brannslanger												3/4tomme				04								X				25	002999947631			2022-05-05			Korridor V tekstilforming		2020-04-23				01				2021-05-05	X	X							X					X	X	X					X							
Lilleborg skole. Gammel gymbygning (Bygg nr.4)	Lilleborg skole	BS	Brannslanger												3/4tomme				02								X				25	002999947629			2022-05-05			Trapp		2020-04-23				02				2021-05-05	X	X							X					X	X	X					X							
Lilleborg skole. Hovedbygning (Bygg nr.1)	Lilleborg skole	BS	Brannslanger												3/4tomme				04								X				30	002999946570			2022-05-05			Trapp V trafo		2020-04-23				03				2021-05-05	X	X							X					X	X	X					X							
Lindeberg skole. Bygning A	Lindeberg skole	BS	Brannslanger												3/4tomme				A0								X				25	002999935981			2022-05-05			ved kantine wc/nødutgang		2009-03-09				20				2021-05-05	X	X							X					X	X	X					X							
Lindeberg skole. Bygning B	Lindeberg skole	BS	Brannslanger												3/4tomme				B0								X				30	002999935986			2022-05-05			Ventilasjonsrom ved Naturfag		2009-03-09				20				2021-05-05	X	X							X					X	X	X					X							
Lindeberg skole. Bygning C	Lindeberg skole	BS	Brannslanger												3/4tomme				C0								X				30	000999905642			2022-05-05			ved gymsal		2020-03-09				10				2021-05-05	X	X							X					X	X	X					X							
Lindeberg skole. Bygning M	Lindeberg skole	BS	Brannslanger												3/4tomme				M0								X				25	000999905644			2022-05-05			under trapp		2009-03-09				00				2021-05-05	X	X							X					X	X	X					X							
Ljan skole	Ljan skole	BS	Brannslanger												3/4tomme				U12								X				25	002999931009			2022-10-25			Rom 138 v/ gymsal		2005-11-22				5				2021-10-25	X	X							X					X	X	X					X							
Ljan skole. SFO	Ljan skole	BS	Brannslanger												3/4tomme				U09								X				25	002999930983			2022-10-25			Gang v/ wc		1997-11-22				6				2021-10-25	X	X							X					X	X	X					X							
Lofsrud skole	Lofsrud skole	BS	Brannslanger												3/4tomme				03								X				25	002999958451	Plassert div foran brannslange vanskelig og få opp skap dør og deff dørlås.Anbefaler og bytte hele s		2022-11-02			Korridor v/ trapp ved rom 9/bibliotek		2007-10-26				27				2021-11-02	X	X							X					X	X	X					X							
Lutvann skole. Bygg B	Lutvann skole	BS	Brannslanger												3/4tomme												D				25	003009929098	Slangtrommel er over 30år må byttes. Slange er morken.		2022-04-15			01 Korridor mellom innganger		1979-04-06								2021-04-15	D	D							D					D	D	D					D							
Lutvann skole. Bygg C. Aktivitetsskolen	Lutvann skole	BS	Brannslanger												3/4tomme												D				25	003009929101	Slangtrommel er over 30år må byttes.		2022-04-15			01 Hovedinngang		1979-04-06								2021-04-15	D	D							D					D	D	D					D							
Lutvann skole. Bygg D	Lutvann skole	BS	Brannslanger												3/4tomme												X				25	003009929095			2022-04-15			02 Korridor ved rom 27A		1998-04-06								2021-04-15	X	X							X					X	X	X					X							
Lutvann skole. Hovedbygg A	Lutvann skole	BS	Brannslanger												1tomme												X				25	003009929087	Trekt strålerør må byttes. 1" strålerør		2022-04-15			03 Toppen av trappa		1998-04-06								2021-04-15	X	X							X					X	X	X					X							
Løren skole. Bygg 1	Løren skole	BS	Brannslanger												3/4tomme												X				30	002999938848			2022-03-18			02 korridor		2012-04-27								2021-03-18	X	X							X					X	X	X					X							
Løren skole. Bygg 2	Løren skole	BS	Brannslanger												3/4tomme												X				30	002999940369	Svært treg å rulle ut og inn		2022-03-18			03 korridor		2014-04-27								2021-03-18	X	X							X					X	X	X					X							
Løren skole. Bygg 3	Løren skole	BS	Brannslanger												3/4tomme												X				30	002999940362	Anbefaler skilt: brannslange innenfor		2022-03-18			01 lager gymsal rom c106		2014-04-27								2021-03-18	X	X							X					X	X	X					X							
Løren skole. Bygg 4	Løren skole	BS	Brannslanger												3/4tomme												X				30	002999940347	Lekker ved overgang nav/tilførselslange		2022-03-18			03 korridor v samtalerom		2017-04-27								2021-03-18	X	X							X					X	X	X					X							
Løren skole. Bygg 5	Løren skole	BS	Brannslanger												3/4tomme												X				30	002999940359			2022-03-18			03 korridor		2014-04-27								2021-03-18	X	X							X					X	X	X					X							
Majorstuen skole	Majorstuen skole	BS	Brannslanger												3/4tomme				04								X				30	002999929028			2022-09-28			Verksted keramikk u1146		2013-10-21				11				2021-09-28	X	X							X					X	X	X					X							
Majorstuen skole. Teknisk sentral	Majorstuen skole	BS	Brannslanger												3/4tomme				00								X				30	002999929032			2022-09-28			Korridor ventilasjon kjeller eget hus nær bom		2013-10-21				01				2021-09-28	X	X							X					X	X	X					X							
Maridalen skole. Aktivitetsskole (Bygg 03)	Maridalen skole	BS	Brannslanger												3/4tomme												X				25	003009928973			2022-04-21			01 SFO Kjøkken		1999-03-26								2021-04-21	X	X							X					X	X	X					X							
Maridalen skole. Gymbygning	Maridalen skole	BS	Brannslanger												3/4tomme												X				25	003009928957			2022-04-21			01 Hovedinngang		2009-03-26								2021-04-21	X	X							X					X	X	X					X							
Maridalen skole. Hovedbygning	Maridalen skole	BS	Brannslanger												3/4tomme												X				25	003009928969	Gammel slange fra 77 og må byttes til reab 55 cm og 1 toms tilførsel slange		2022-04-21			03 Admistrsjon ved kjøkken		2008-03-26								2021-04-21	X	X							X					X	X	X					X							
Morellbakken skole. Forskningshuset (4)	Morellbakken skole	BS	Brannslanger												3/4tomme												X				25	002999940284			2022-05-25			02 Gang v naturfag		2012-04-30								2021-05-25	X	X							X					X	X	X					X							
Morellbakken skole. Hovedhuset (1)	Morellbakken skole	BS	Brannslanger												3/4tomme												X				30	002999940320	Mangler skilt over trommel		2022-05-25			03 Undervisningrom 6-303		2012-04-30								2021-05-25	X	X							X					X	X	X					X							
Morellbakken skole. Kropp og sjel (3)	Morellbakken skole	BS	Brannslanger												3/4tomme												X				25	002999940278	Mangler skilt over branntrommel		2022-05-25			02 Gang ved helsetjenesten		2012-04-30								2021-05-25	X	X							X					X	X	X					X							
Morellbakken skole. Kulturhuset (2)	Morellbakken skole	BS	Brannslanger												3/4tomme												X				30	002999940300	Mangler skilt over trommel skap		2022-05-25			02 korridor arbeidsrom		2012-04-30								2021-05-25	X	X							X					X	X	X					X							
Morellbakken skole. Musikkhuset (5)	Morellbakken skole	BS	Brannslanger												3/4tomme												X				25	002999940288			2022-05-25			02 musikkrom		2012-04-30								2021-05-25	X	X							X					X	X	X					X							
Mortensrud skole. Bygg 1. Sentralbygget	Mortensrud skole	BS	Brannslanger												3/4tomme				02								X				25	003009928228			2022-04-06			Korridor ved vaktmester		1997-04-20				05				2021-04-06	X	X							X					X	X	X					X							
Mortensrud skole. Bygg 10	Mortensrud skole	BS	Brannslanger												3/4tomme												X				25	003009928240			2022-04-07			01 Korridor Garderobe bygg 1		1997-04-20								2021-04-07	X	X							X					X	X	X					X							
Mortensrud skole. Bygg 2. Gymbygning	Mortensrud skole	BS	Brannslanger												3/4tomme				02								X				25	003009928237			2022-04-06			Korridor ved ventilasjon		1999-04-20				03				2021-04-06	X	X							X					X	X	X					X							
Mortensrud skole. Bygg 3	Mortensrud skole	BS	Brannslanger												3/4tomme				01								X				25	003009928244			2022-04-06			Garderobe		1997-04-20				01				2021-04-06	X	X							X					X	X	X					X							
Mortensrud skole. Bygg 4	Mortensrud skole	BS	Brannslanger												3/4tomme				01								X				25	003009928242			2022-04-06			Garderobe bygg 5-6		1997-04-20				01				2021-04-06	X	X							X					X	X	X					X							
Mortensrud skole. Bygg 6	Mortensrud skole	BS	Brannslanger												3/4tomme				01								X				25	003009928249			2022-04-06			Garderobe bygg 10-11		1997-04-20				01				2021-04-06	X	X							X					X	X	X					X							
Mortensrud skole. Bygg 7	Mortensrud skole	BS	Brannslanger												3/4tomme				01								X				25	003009928248	Mangler skilt over brannslange skap.		2022-04-06			Garderobe bygg 13-14		1997-04-20				01				2021-04-06	D	X							X					X	X	X					X							
Mortensrud skole. Bygg 8	Mortensrud skole	BS	Brannslanger												3/4tomme				01								X				30	003009928251			2022-04-06			Garderobe bygg 15		1997-04-20				01				2021-04-06	X	X							X					X	X	X					X							
